"Год","Месяц","Гос. облигации (ОФЗ)","Корпоративные","Региональные"
"2015","1","124,397,489,943","133,199,030,391","14,282,982,045"
"2015","2","228,407,011,104","301,060,554,509","25,279,501,792"
"2015","3","244,625,756,817","397,100,514,069","26,058,253,086"
"2015","4","306,668,020,658","403,807,567,928","27,548,749,275"
"2015","5","225,411,920,860","358,566,601,912","23,547,963,918"
"2015","6","309,158,043,791","328,857,895,263","24,449,316,888"
"2015","7","394,431,115,068","359,047,088,484","56,501,752,806"
"2015","8","256,869,908,622","331,960,648,775","39,012,773,563"
"2015","9","243,495,964,325","406,331,319,160","33,788,210,668"
"2015","10","419,091,687,830","531,563,876,498","27,782,897,360"
"2015","11","457,094,200,813","344,568,389,071","36,340,748,800"
"2015","12","367,117,793,670","585,662,923,659","59,678,735,716"
"2016","1","391,313,471,540","210,897,906,011","17,972,897,015"
"2016","2","396,049,432,766","285,768,644,302","23,549,489,650"
"2016","3","487,668,168,242","339,429,321,959","47,220,751,903"
"2016","4","436,286,221,814","500,321,194,423","22,102,497,385"
"2016","5","323,177,507,712","284,140,085,336","24,827,743,820"
"2016","6","465,333,121,541","400,385,319,991","50,533,497,431"
"2016","7","396,845,156,522","297,087,423,416","37,478,152,519"
"2016","8","376,508,028,865","279,159,429,217","26,087,952,510"
"2016","9","540,439,518,058","373,490,523,650","42,297,806,350"
"2016","10","281,290,195,575","557,451,240,951","22,709,623,212"
"2016","11","336,116,672,429","284,650,381,344","41,687,702,588"
"2016","12","529,779,292,411","360,291,163,662","41,387,844,130"
"2017","1","320,801,183,790","214,885,961,766","6,280,441,596"
"2017","2","317,509,796,939","259,106,611,207","15,210,167,087"
"2017","3","584,288,970,257","450,692,991,568","25,783,501,122"
"2017","4","601,126,046,014","351,358,254,810","17,172,923,812"
"2017","5","390,803,024,445","314,715,374,665","11,089,925,391"
"2017","6","672,477,852,042","344,556,999,348","21,301,359,366"
"2017","7","489,938,370,275","322,773,391,903","16,740,421,927"
"2017","8","592,511,793,809","442,407,951,036","32,307,458,128"
"2017","9","664,966,339,428","307,746,429,658","25,820,261,126"
"2017","10","682,733,855,862","310,692,737,977","33,850,649,863"
"2017","11","564,096,264,223","264,622,153,054","38,582,627,470"
"2017","12","588,692,683,310","368,211,008,841","92,729,527,412"
"2018","1","514,150,923,861","260,060,394,031","30,589,928,110"
"2018","2","704,905,196,256","319,240,296,386","28,437,922,046"
"2018","3","609,881,476,249","414,332,135,312","38,852,311,021"
"2018","4","861,942,028,239","327,561,894,330","17,161,753,729"
"2018","5","499,880,492,156","235,664,061,114","45,218,201,014"
"2018","6","642,872,299,658","296,269,256,608","35,716,464,578"
"2018","7","409,369,736,010","191,873,143,138","20,202,004,172"
"2018","8","520,221,941,314","195,140,912,596","11,852,405,860"
"2018","9","602,151,871,857","134,055,679,270","11,771,467,899"
"2018","10","513,012,065,658","128,649,009,666","15,066,143,587"
"2018","11","401,926,710,782","133,992,778,130","8,220,654,704"
"2018","12","258,119,531,861","151,317,478,030","11,005,652,678"
"2019","1","405,863,704,147","103,082,995,307","7,327,478,192"
"2019","2","418,025,190,676","203,273,010,192","14,913,680,513"
"2019","3","453,222,317,792","235,626,546,133","6,900,471,008"
"2019","4","608,400,581,482","237,007,835,606","9,014,321,737"
"2019","5","613,236,329,169","223,278,582,875","12,366,527,103"
"2019","6","711,253,582,921","230,865,629,524","17,018,283,318"
"2019","7","560,569,788,844","325,784,776,904","16,972,805,273"
"2019","8","658,495,085,628","242,055,545,843","15,089,570,112"
"2019","9","528,551,467,598","237,752,443,075","20,980,605,943"
"2019","10","822,310,962,294","338,691,218,572","19,958,874,444"
"2019","11","493,320,325,940","300,398,786,382","16,070,665,675"
"2019","12","506,265,683,185","442,194,245,561","19,805,380,580"
"2020","1","505,754,838,264","234,067,485,472","12,340,458,682"
"2020","2","777,289,475,056","323,059,961,565","13,853,121,240"
"2020","3","1,109,994,842,001","209,444,416,396","11,036,898,689"
"2020","4","652,146,359,494","176,514,191,626","20,133,063,087"
"2020","5","909,437,668,160","266,278,455,540","12,260,256,897"
"2020","6","795,476,166,644","313,230,757,085","27,266,073,453"
"2020","7","547,431,210,669","214,749,083,716","16,963,658,848"
"2020","8","302,890,811,083","166,354,101,286","9,071,238,741"
"2020","9","492,742,855,684","201,289,550,670","44,045,529,473"
"2020","10","498,353,877,768","248,558,203,571","27,152,703,831"
"2020","11","460,668,485,709","193,284,797,638","22,803,824,902"
